edad_meses,dominio,odds_ratio,p_value,ci_lower,ci_upper,significativo
36.0,Comunicación,1.91904047976012,0.07254931861255327,0.9650119592140269,3.8162390919563447,False
36.0,Motricidad Gruesa,1.9835758835758837,0.005636912491722002,1.2589151740832667,3.1253680683998244,True
36.0,Motricidad Fina,0.3088819226750261,0.04217030030951086,0.0967122173108041,0.9865148872433349,True
36.0,Resolución de Problemas,2.1058612440191387,0.0184874460427916,1.1612472793060302,3.818869295187511,True
36.0,Desarrollo Socio-Individual,2.167076167076167,0.016226466479346106,1.1940951359001217,3.9328684731384236,True
42.0,Riesgo Global,1.4724707750036081,0.0832988447867015,0.9539897462724093,2.2727395044984173,False
42.0,Comunicación,0.18229166666666666,0.0576932521103706,0.02512212172243464,1.3227486158717126,False
42.0,Motricidad Gruesa,2.867905541392728,2.5647525750247998e-05,1.8178084905746503,4.524614246768671,True
42.0,Motricidad Fina,0.4875816993464052,0.2395050665332646,0.17629930327891827,1.348479030353358,False
42.0,Resolución de Problemas,0.13502147458840372,0.012050524910166206,0.01865338392333477,0.9773453800637655,True
42.0,Desarrollo Socio-Individual,0.751984126984127,0.6769829263209015,0.299322012229895,1.8892032798502008,False
48.0,Riesgo Global,1.0878062823875632,0.7290820648455713,0.6949407390121051,1.7027675045846444,False
48.0,Comunicación,3.492690763052209,0.00028275880547378146,1.8942196827339601,6.44006018811047,True
48.0,Motricidad Gruesa,0.34709048961804667,0.007996265996908187,0.15007393265946112,0.8027497237422495,True
48.0,Motricidad Fina,0.358700882117081,0.07916546093616002,0.11202883638393345,1.1485107494165194,False
48.0,Resolución de Problemas,3.243868868868869,0.00016797265946161543,1.8482122729219903,5.693439759373753,True
48.0,Desarrollo Socio-Individual,0.13856304985337242,0.0183945298812088,0.01913914312981535,1.003165013942471,True
54.0,Riesgo Global,0.7234784247220652,0.22344541649688607,0.43463006093275625,1.2042909087213416,False
54.0,Comunicación,2.5970348159253707,0.011082334173630784,1.2929242128510385,5.216539197031488,True
54.0,Motricidad Gruesa,0.3975517341882833,0.029169190139500707,0.1712470928231026,0.9229200843682273,True
54.0,Motricidad Fina,0.13073434502005932,0.011961122964261332,0.018054278283972918,0.9466714038077223,True
54.0,Resolución de Problemas,1.2253213957759412,0.6575855869023903,0.5518062347400423,2.7209053258588516,False
54.0,Desarrollo Socio-Individual,1.472493078126881,0.27221578864159685,0.6922575955105772,3.1321228964376857,False
60.0,Riesgo Global,2.6684572410829395,0.00033344862147947793,1.5798987724142894,4.507038154480416,True
60.0,Comunicación,1.9593613933236576,0.14058369290334177,0.8206397083869632,4.678176098976851,False
60.0,Motricidad Gruesa,0.4524931291715744,0.10786933166363193,0.17940950804671985,1.141244040946617,False
60.0,Motricidad Fina,0.1781609195402299,0.056227766394290606,0.02449885759069638,1.295624219778895,False
60.0,Resolución de Problemas,2.0209150326797385,0.07545727716122784,0.9374614905880291,4.356549693309717,False
60.0,Desarrollo Socio-Individual,6.396626396170504,4.7369448899190254e-08,3.5537007773401665,11.513864507976443,True
